Summary,Short URL,Date Posted,Tags
Led Zeppelin released How the West Was Won 14 years ago today. Here’s why it is one of the greatest live albums of all time.,https://tmblr.co/Z_px0y2M41SUh,2017-05-27,"['Led Zeppelin', 'How the West Was Won', 'music', 'gif']"
Led Zeppelin released IV 45 years ago today. Here's how the band struck back at critics on the 1971 masterpiece and made one of...,https://tmblr.co/Z_px0y2EPQw5V,2016-11-08,"['Led Zeppelin', 'Led Zeppelin IV', 'music']"
Led Zeppelin II was released 47 years ago today. Inside the making of the LP.,https://tmblr.co/Z_px0y2DjFLV2,2016-10-22,"['Led Zeppelin', 'Led Zeppelin II', 'music', 'long reads']"
"Watch Led Zeppelin's new, animated video for ""What Is and What Should Never Be.""",https://tmblr.co/Z_px0y2C5Ocl9,2016-09-14,"['Led Zeppelin', 'music', 'gif']"
"Read Robert Plant's complete testimony at Led Zeppelin's ""Stairway to Heaven"" trial.",https://tmblr.co/Z_px0y2Ap31hw,2016-08-16,"['Robert Plant', 'Led Zeppelin', 'Stairway to Heaven', 'music']"
Led Zeppelin released In Through the Out Door 37 years ago today. Here's the backstory on the LP.,https://tmblr.co/Z_px0y2AmnsEP,2016-08-15,"['Led Zeppelin', 'In Through the Out Door', 'music']"
"The judge overseeing Led Zeppelin's ""Stairway to Heaven"" trial ruled against the band and their publishing company's attempts to...",https://tmblr.co/Z_px0y2ATFija,2016-08-09,"['Led Zeppelin', 'Stairway to Heaven', 'music']"
"The Led Zeppelin ""Stairway to Heaven"" lawsuit isn't over yet.",https://tmblr.co/Z_px0y29rTYVV,2016-07-26,"['Led Zeppelin', 'Jimmy Page', 'Stairway to Heaven', 'music']"
Led Zeppelin announce expanded Complete BBC Sessions with previously unreleased song.,https://tmblr.co/Z_px0y29WS9kz,2016-07-19,"['Led Zeppelin', 'music']"
"Ozzy Osbourne tells us why the Led Zeppelin ""Stairway to Heaven"" trial was a ""waste of fucking time.""",https://tmblr.co/Z_px0y29Kga93,2016-07-15,"['Ozzy Osbourne', 'Led Zeppelin', 'Stairway to Heaven', 'music']"
"Inside the courtroom on the final day of the Led Zeppelin ""Stairway to Heaven"" trial.",https://tmblr.co/Z_px0y28KT38f,2016-06-23,"['Led Zeppelin', 'music', 'Stairway to Heaven']"
The 10 weirdest moments in the “Stairway to Heaven” trial.,https://tmblr.co/Z_px0y28K5ESa,2016-06-23,"['Led Zeppelin', 'Stairway to Heaven', 'music']"
"Led Zeppelin has won the lawsuit that alleged that they had plagiarized the music to ""Stairway to Heaven"" from Spirit's...",https://tmblr.co/Z_px0y28J_Yqc,2016-06-23,"['Led Zeppelin', 'Stairway to Heaven', 'music', 'Spirit']"
12 artists who ripped off Led Zeppelin.,https://tmblr.co/Z_px0y28JxOSG,2016-06-23,"['music', 'Led Zeppelin']"
"Led Zeppelin ""Stairway"" trial goes to jury as both sides present emphatic closing arguments. Inside day six.",https://tmblr.co/Z_px0y28HhPhk,2016-06-22,"['Led Zeppelin', 'Stairway to Heaven', 'music']"
